zip.code,city,county,store.number,store.name,address,store.latitude,store.longitude
50158,Marshalltown,Marshall,4225,T P Plaza,1701 Iowa Ave,42.00684,-92.88396
50158,Marshalltown,Marshall,4386,KUM & GO,613 N 3rd Ave N,42.056601,-92.9081
50158,Marshalltown,Marshall,4350,Kum & Go,916 E Main St,42.049238,-92.896472
50158,Marshalltown,Marshall,4922,Vinos y Licores el Aguaje,101 W Main St,42.049174,-92.914802
50158,Marshalltown,Marshall,2592,Hy-Vee Drugstore,1712 S Center St,42.027531,-92.912505
50158,Marshalltown,Marshall,5117,Food & Gas Mart,613 N 3rd Ave,42.057471,-92.9081
50158,Marshalltown,Marshall,4205,Fareway Stores,102 W Anson St,42.038157,-92.914427
50158,Marshalltown,Marshall,5166,East Side Liquor and Groceries,1116 E Nevada St,42.044345,-92.893113
50158,Marshalltown,Marshall,4828,Casey's General Store,916 E Main St,42.049238,-92.896472
50158,Marshalltown,Marshall,4528,Casey's General Store,111 N 3rd Ave,42.051236,-92.908032
50158,Marshalltown,Marshall,4756,Walgreens,5 E Anson,42.0381118,-92.9120072
50158,Marshalltown,Marshall,5248,Liquor and Grocery Depot,114 N Center St,,
50158,Marshalltown,Marshall,5303,Casey's General Store,108 Iowa Ave W,,
50158,Marshalltown,Marshall,5346,East Side Liquor & Grocery,1116 E Nevada St,42.044345,-92.893113
50158,Marshalltown,Marshall,5416,Depot Liquor & Grocery,114 N Center St,42.051619,-92.912975
50158,Marshalltown,Marshall,5408,Casey's General Store,1402 S 12th Ave,42.031757,-92.893431
50158,Marshalltown,Marshall,5444,Marshall Beer Wine Spirits,11 N 3rd Ave,42.050021,-92.908013
50158,Marshalltown,Marshall,5508,Express Mart,229 N 13th St,42.052277,-92.934741
50158,Marshalltown,Marshall,5524,East Side Liquor & Grocery,1116 E Nevada St,42.044345,-92.893113
50158,Marshalltown,Marshall,5530,Yesway,1701 Iowa Ave E,42.006852,-92.88592
50160,Martensdale,Warren,4944,Jiffy Express,290 Hwy 28,41.37332625,-93.7374855
50161,Maxwell,Story,4621,Casey's General Store,100 Main St,41.888013,-93.39968
50162,Melbourne,Marshall,4338,Randhawa's Travel Center,1659d Marshalltown Blvd,41.953825,-93.100142
50163,Melcher-Dallas,Marion,3909,D And S Grocery,104 Se A St,,
50169,Mitchellville,Polk,5264,Casey's General Store,309 Center Ave,41.663434,-93.358095
50170,Monroe,Jasper,3968,Monroe Liquor,105 W Sherman Po Bx 1023,,
50170,Monroe,Jasper,4522,Casey's General Store,201 Ralph St,,
50171,Montezuma,Poweshiek,3712,Monte Spirits,109 N 4th St,41.585429,-92.523692
50171,Montezuma,Poweshiek,3065,Montezuma Super Valu,201 S Front St,41.584179,-92.527248
50171,Montezuma,Poweshiek,5041,Casey's General Store,106 N Front St,41.58555725,-92.52723
50171,Montezuma,Poweshiek,5422,The Depot Montezuma LLC,100 S Front St,41.585392,-92.52723
50174,Murray,Clarke,4833,Crazy Mary's Licker,1804 135th Ave,41.036556,-93.946974
50201,Nevada,Story,4105,Fareway Stores,1505 S B Ave,42.009797,-93.439899
50201,Nevada,Story,4356,Kum & Go,136 Lincoln Hwy,42.022725,-93.458003
50201,Nevada,Story,3970,"The Liquor Cabinet, Inc.",835 6 St Ste 1,42.018948,-93.452277
50201,Nevada,Story,3943,Good and Quick Co,519 Lincolnway,,
50201,Nevada,Story,5000,Casey's General Store,1800 S B Ave,42.009808,-93.435912
50201,Nevada,Story,5578,White Oak Station,136 Lincoln Hwy,42.022725,-93.458003
50206,Newton,,5290,Yesway Store,405 1st Ave E,41.699578,-93.049443
50206,Newton,Jasper,5290,Yesway Store,405 1st Ave E,41.699578,-93.049443
50207,New Sharon,Mahaska,5075,Pronto Market,202 S Main St,41.468516,-92.651525
50208,Newton,Jasper,2517,Hy-Vee Food Store,1501 First Ave E,41.6991585,-93.033789
50208,Newton,Jasper,4604,Pit Stop Liquors,1324 1st Ave E,41.699173,-93.035654
50208,Newton,Jasper,4724,Walgreens,1204 1st Ave E,41.699223,-93.038091
50208,Newton,Jasper,4360,Kum & Go,405 1st Ave E,41.699578,-93.049443
50208,Newton,Jasper,3624,Wal-Mart 0748,300 Iowa Speedway Dr,41.698012,-93.0144592
50208,Newton,Jasper,4194,Fareway Stores,120 N 3rd Ave E,41.7014524,-93.0527798
50208,Newton,Jasper,4330,Ryan's Quick Shop,702 1st Ave E,41.69943,-93.045515
50208,Newton,Jasper,5275,Casey's General Store,1200 W 18th St S,,
50210,New Virginia,Warren,4385,Kum & Go,1453 Co Hwy G76,,
50211,Norwalk,Warren,3437,Scott's Foods,1120 Sunset Drive,41.479869,-93.67811
50211,Norwalk,Warren,4369,Kum & Go,2992 Sunset Dr,41.494857,-93.674051
50211,Norwalk,Warren,4092,Fareway Stores,1711 Sunset Dr,41.4831216666667,-93.6756328333333
50211,Norwalk,Warren,4370,Kum & Go,530 N Ave,41.475381,-93.681862
50211,Norwalk,Warren,9010,Broadbent Distillery,6175 50th Ave,41.436462,-93.7122705
50211,Norwalk,Warren,5229,Casey's General Store,500 N Ave,41.4754024,-93.683205
50212,Ogden,Boone,3635,Clark's Food Mart,302 W Walnut St,42.039076,-94.031178
50212,Ogden,Boone,4838,Casey's General Store,102 W Veterans Dr,42.03201,-94.028392
50213,Osceola,Clarke,2550,Hy-Vee Food Store,510 W Mclane,41.0305693333333,-93.773193
50213,Osceola,Clarke,3826,Terribles Lakeside Casino,777 Casino Dr,41.038169,-93.7991465
50213,Osceola,Clarke,4544,Casey's General Store,114 N Main St,41.035778,-93.765678
50213,Osceola,Clarke,3997,Wal-Mart 4606,2400 College Dr,41.0247155,-93.79882575
50213,Osceola,Clarke,4260,Fareway Stores,215 S Main St,41.03268025,-93.76570075
50213,Osceola,Clarke,4825,Casey's General Store,400 S Main St,41.03046725,-93.765932
50213,Osceola,Clarke,4363,Kum & Go,400 S Main St,41.030337,-93.765689
50213,Osceola,Clarke,3826,Lakeside Hotel & Casino,777 Casino Dr,41.038169,-93.7991465
50213,Osceola,Clarke,4825,Casey's General Store,100 W Mclane St,41.03046725,-93.765932
50216,Panora,Guthrie,3465,Hometown Foods,601 E Main,41.6918232,-94.356821
50216,Panora,Guthrie,4473,Casey's General Store,113 Ne 3rd St,41.692351,-94.361364
50219,Pella,Marion,2642,Hy-Vee Wine and Spirits,512 E Oskaloosa,41.3970278333333,-92.899637
50219,Pella,Marion,3949,Wal-Mart 0751,1650 Washington St,41.410379,-92.933676
50219,Pella,Marion,4191,Fareway Stores,2010 Washington St,41.412217,-92.9418934
50219,Pella,Marion,5273,Casey's General Store,414 Clark St,,
50219,Pella,Marion,5353,New Star Pella,977 198th Pl,41.3809936666667,-92.953605
50219,Pella,Marion,5502,Casey's General Store,509 Main St,41.403486,-92.916517
50219,Pella,Marion,5353,New Star,977 198th Pl,41.3809936666667,-92.953605
50220,Perry,Boone,4410,Kum & Go,1219 1st St,,
50220,Perry,Boone,4320,Fareway Stores,1315 Willis Ave,41.838522,-94.103123
50220,Perry,Boone,5012,Bluejay Market,2810 Willis Ave,41.838488,-94.081127
